Material,Density (g/cm3),Energy (keV),Mass Attenuation Coefficient (cm2/g),Linear Attenuation Coefficient (cm-1),Linear Attenuation Coefficient (m-1)
Polystyrene (Styrofoam),1.06,3000,0.03822,0.034398,3.4398
,,,,,
Lead Glass,6.22,50,6.134,5.5206,552.06
Lead Glass,6.22,100,4.216,3.7944,379.44
Lead Glass,6.22,150,1.55,1.395,139.5
Lead Glass,6.22,200,0.782,0.7038,70.38
Lead Glass,6.22,500,0.1429,0.12861,12.861
Lead Glass,6.22,1000,0.06914,0.062226,6.2226
Lead Glass,6.22,1250,0.05826,0.052434,5.2434
Lead Glass,6.22,1500,0.05208,0.046872,4.6872
Lead Glass,6.22,2000,0.04568,0.041112,4.1112
Lead Glass,6.22,3000,0.04082,0.036738,3.6738
,,,,,
Lead,11.34,1,5210,59081.4,5908140
Lead,11.34,1.5,2356,26717.04,2671704
Lead,11.34,2,1285,14571.9,1457190
Lead,11.34,2.48,800.6,9078.804,907880.4
Lead,11.34,2.48,1397,15841.98,1584198
Lead,11.34,2.53,1726,19572.84,1957284
Lead,11.34,2.59,1944,22044.96,2204496
Lead,11.34,2.59,2458,27873.72,2787372
Lead,11.34,3,1965,22283.1,2228310
Lead,11.34,3.07,1857,21058.38,2105838
Lead,11.34,3.07,2146,24335.64,2433564
Lead,11.34,3.3,1796,20366.64,2036664
Lead,11.34,3.55,1496,16964.64,1696464
Lead,11.34,3.55,1585,17973.9,1797390
Lead,11.34,3.7,1442,16352.28,1635228
Lead,11.34,3.85,1311,14866.74,1486674
Lead,11.34,3.85,1368,15513.12,1551312
Lead,11.34,4,1251,14186.34,1418634
Lead,11.34,5,730.4,8282.736,828273.6
Lead,11.34,6,467.2,5298.048,529804.8
Lead,11.34,8,228.7,2593.458,259345.8
Lead,11.34,10,130.6,1481.004,148100.4
Lead,11.34,13.04,67.01,759.8934,75989.34
Lead,11.34,13.04,162.1,1838.214,183821.4
Lead,11.34,15,111.6,1265.544,126554.4
Lead,11.34,15.2,107.8,1222.452,122245.2
Lead,11.34,15.2,148.5,1683.99,168399
Lead,11.34,15.53,141.6,1605.744,160574.4
Lead,11.34,15.86,134.4,1524.096,152409.6
Lead,11.34,15.86,154.8,1755.432,175543.2
Lead,11.34,20,86.36,979.3224,97932.24
Lead,11.34,30,30.32,343.8288,34382.88
Lead,11.34,40,14.36,162.8424,16284.24
Lead,11.34,50,8.041,91.18494,9118.494
Lead,11.34,60,5.021,56.93814,5693.814
Lead,11.34,80,2.419,27.43146,2743.146
Lead,11.34,88,1.91,21.6594,2165.94
Lead,11.34,88,7.683,87.12522,8712.522
Lead,11.34,100,5.549,62.92566,6292.566
Lead,11.34,150,2.014,22.83876,2283.876
Lead,11.34,200,0.9985,11.32299,1132.299
Lead,11.34,300,0.4031,4.571154,457.1154
Lead,11.34,400,0.2323,2.634282,263.4282
Lead,11.34,500,0.1614,1.830276,183.0276
Lead,11.34,600,0.1248,1.415232,141.5232
Lead,11.34,800,0.0887,1.005858,100.5858
Lead,11.34,1000,0.07102,0.8053668,80.53668
Lead,11.34,1250,0.05876,0.6663384,66.63384
Lead,11.34,1500,0.05222,0.5921748,59.21748
Lead,11.34,2000,0.04606,0.5223204,52.23204
Lead,11.34,3000,0.04234,0.4801356,48.01356
Lead,11.34,4000,0.04197,0.4759398,47.59398
Lead,11.34,5000,0.04272,0.4844448,48.44448
Lead,11.34,6000,0.04391,0.4979394,49.79394
Lead,11.34,8000,0.04675,0.530145,53.0145
Lead,11.34,10000,0.04972,0.5638248,56.38248
Lead,11.34,15000,0.05658,0.6416172,64.16172
Lead,11.34,20000,0.06206,0.7037604,70.37604
,,,,,
Aluminum,2.7,1,1185,3199.5,319950
Aluminum,2.7,1.5,402.2,1085.94,108594
Aluminum,2.7,1.56,362.1,977.67,97767
Aluminum,2.7,1.56,3957,10683.9,1068390
Aluminum,2.7,2,2263,6110.1,611010
Aluminum,2.7,3,788,2127.6,212760
Aluminum,2.7,4,360.5,973.35,97335
Aluminum,2.7,5,193.4,522.18,52218
Aluminum,2.7,6,115.3,311.31,31131
Aluminum,2.7,8,50.33,135.891,13589.1
Aluminum,2.7,10,26.23,70.821,7082.1
Aluminum,2.7,15,7.955,21.4785,2147.85
Aluminum,2.7,20,3.441,9.2907,929.07
Aluminum,2.7,30,1.128,3.0456,304.56
Aluminum,2.7,40,0.5685,1.53495,153.495
Aluminum,2.7,50,0.3681,0.99387,99.387
Aluminum,2.7,60,0.2778,0.75006,75.006
Aluminum,2.7,80,0.2018,0.54486,54.486
Aluminum,2.7,100,0.1704,0.46008,46.008
Aluminum,2.7,150,0.1378,0.37206,37.206
Aluminum,2.7,200,0.1223,0.33021,33.021
Aluminum,2.7,300,0.1042,0.28134,28.134
Aluminum,2.7,400,0.09276,0.250452,25.0452
Aluminum,2.7,500,0.08445,0.228015,22.8015
Aluminum,2.7,600,0.07802,0.210654,21.0654
Aluminum,2.7,800,0.06841,0.184707,18.4707
Aluminum,2.7,1000,0.06146,0.165942,16.5942
Aluminum,2.7,1250,0.05496,0.148392,14.8392
Aluminum,2.7,1500,0.05006,0.135162,13.5162
Aluminum,2.7,2000,0.04324,0.116748,11.6748
Aluminum,2.7,3000,0.03541,0.095607,9.5607
Aluminum,2.7,4000,0.03106,0.083862,8.3862
Aluminum,2.7,5000,0.02836,0.076572,7.6572
Aluminum,2.7,6000,0.02655,0.071685,7.1685
Aluminum,2.7,8000,0.02437,0.065799,6.5799
Aluminum,2.7,10000,0.02318,0.062586,6.2586
Aluminum,2.7,15000,0.02195,0.059265,5.9265
Aluminum,2.7,20000,0.02168,0.058536,5.8536
